statenum,casenum,vnumber,pnumber,city,county,accdate,accday,accmon,caseyear,driverdrowsy,latitude,longitude,age,airbag,prf1,prf2,prf3,restraint,body,gvwrating,vfatcount,make,model,modelyr,vrf1,vrf2,drivpres,drf1,drf2,drf3,drf4,dridistract
1,184,1,2,1030,31,4/3/16,3,4,2016,0,31.34691944,-85.87298611,62,20,0,0,0,3,6,0,0,49,49,2009,0,0,1,0,0,0,0,0
1,193,2,1,3270,51,4/23/16,23,4,2016,0,32.53545278,-86.232475,61,20,0,0,0,3,4,0,0,18,22,2013,0,0,1,0,0,0,0,0
1,195,1,1,350,73,4/25/16,25,4,2016,0,33.46950278,-86.88645,30,8,0,0,0,99,4,0,1,63,34,2015,0,0,1,28,0,0,0,99
1,196,1,1,1730,89,4/25/16,25,4,2016,0,34.73296944,-86.66773889,56,20,0,0,0,3,31,0,1,23,481,2013,0,0,1,0,0,0,0,99
1,199,2,1,0,49,4/29/16,29,4,2016,0,34.42536389,-86.01751389,25,20,0,0,0,3,31,0,0,20,481,2011,0,0,1,0,0,0,0,0
1,201,1,1,0,125,2/2/16,2,2,2016,0,33.236125,-87.14565278,78,8,0,0,0,7,30,0,0,49,472,2009,0,0,1,38,0,0,0,1
1,203,2,1,0,1,2/13/16,13,2,2016,0,32.57417222,-86.59906944,27,1,0,0,0,3,4,0,1,35,50,2016,0,0,1,0,0,0,0,0
1,203,2,2,0,1,2/13/16,13,2,2016,0,32.57417222,-86.59906944,42,1,0,0,0,3,4,0,1,35,50,2016,0,0,1,0,0,0,0,0
1,203,2,3,0,1,2/13/16,13,2,2016,0,32.57417222,-86.59906944,4,20,0,0,0,10,4,0,1,35,50,2016,0,0,1,0,0,0,0,0
1,203,2,4,0,1,2/13/16,13,2,2016,0,32.57417222,-86.59906944,6,0,0,0,0,3,4,0,1,35,50,2016,0,0,1,0,0,0,0,0
1,203,2,5,0,1,2/13/16,13,2,2016,0,32.57417222,-86.59906944,53,20,0,0,0,7,4,0,1,35,50,2016,0,0,1,0,0,0,0,0
1,205,2,1,0,3,2/16/16,16,2,2016,0,30.41976111,-87.85245,49,1,0,0,0,3,31,0,0,20,481,2011,0,0,1,0,0,0,0,0
1,205,2,2,0,3,2/16/16,16,2,2016,0,30.41976111,-87.85245,66,1,0,0,0,3,31,0,0,20,481,2011,0,0,1,0,0,0,0,0
