"","casenum","statenum","vehnum","persontotal","agemin","agemax","numfatal","day","month","year","date","modelyear","make","makename","cellphoneuse"
"1225",482,13,2,1,26,26,1,12,5,2016,"05/2016",2015,12,"Ford",0
"1226",496,13,1,1,24,24,1,15,5,2016,"05/2016",2013,12,"Ford",0
"1227",520,13,2,1,42,42,0,23,5,2016,"05/2016",2014,12,"Ford",0
"1228",522,13,1,1,84,84,1,23,5,2016,"05/2016",2010,12,"Ford",0
"1229",533,13,1,1,85,85,0,27,5,2016,"05/2016",2014,12,"Ford",0
"1230",569,13,1,1,63,63,0,4,6,2016,"06/2016",2010,12,"Ford",0
"1231",579,13,1,1,41,41,0,8,6,2016,"06/2016",2013,12,"Ford",0
"1232",591,13,2,1,36,36,0,11,6,2016,"06/2016",2012,12,"Ford",0
"1233",636,13,2,1,65,65,1,22,6,2016,"06/2016",2016,12,"Ford",0
"1234",639,13,1,1,48,48,1,22,6,2016,"06/2016",2014,12,"Ford",0
"1235",658,13,3,1,44,44,0,25,6,2016,"06/2016",2012,12,"Ford",0
"1236",670,13,1,1,60,60,1,30,6,2016,"06/2016",2008,12,"Ford",0
"1237",708,13,2,1,39,39,0,12,7,2016,"07/2016",2013,12,"Ford",0
"1238",709,13,1,1,38,38,1,12,7,2016,"07/2016",2009,12,"Ford",0
"1239",723,13,1,1,79,79,1,16,7,2016,"07/2016",2010,12,"Ford",0
"1240",764,13,1,1,74,74,0,27,7,2016,"07/2016",2008,12,"Ford",0
"1241",809,13,1,1,42,42,0,7,8,2016,"08/2016",2015,12,"Ford",0
"1242",816,13,1,1,25,25,0,9,8,2016,"08/2016",2013,12,"Ford",0
"1243",840,13,1,1,30,30,1,22,7,2016,"07/2016",2011,12,"Ford",0
"1244",853,13,1,1,79,79,1,17,8,2016,"08/2016",2011,12,"Ford",0
"1245",888,13,1,1,36,36,0,26,8,2016,"08/2016",2015,12,"Ford",0
"1246",897,13,2,1,26,26,0,29,8,2016,"08/2016",2013,12,"Ford",0
"1247",899,13,1,1,60,60,0,29,8,2016,"08/2016",2011,12,"Ford",0
"1248",1094,13,1,1,23,23,0,10,10,2016,"10/2016",2016,12,"Ford",0
"1249",1101,13,1,1,37,37,0,13,10,2016,"10/2016",2009,12,"Ford",0
"1250",1121,13,2,1,28,28,0,8,10,2016,"10/2016",2011,12,"Ford",0
"1251",1124,13,1,1,53,53,1,28,8,2016,"08/2016",2008,12,"Ford",0
"1252",1125,13,2,1,77,77,0,19,9,2016,"09/2016",2015,12,"Ford",0
"1253",1168,13,2,1,62,62,0,26,10,2016,"10/2016",2008,12,"Ford",0
"1254",1186,13,1,1,28,28,1,30,10,2016,"10/2016",2011,12,"Ford",0
"1255",1194,13,1,1,49,49,1,3,11,2016,"11/2016",2014,12,"Ford",0
"1256",1205,13,1,1,31,31,0,5,11,2016,"11/2016",2012,12,"Ford",0
"1257",1209,13,1,1,55,55,1,5,11,2016,"11/2016",2013,12,"Ford",0
"1258",1217,13,2,1,64,64,0,7,11,2016,"11/2016",2014,12,"Ford",0
"1259",1243,13,2,1,58,58,1,15,11,2016,"11/2016",2014,12,"Ford",0
"1260",1246,13,1,1,58,58,0,16,11,2016,"11/2016",2012,12,"Ford",0
"1261",1248,13,3,1,50,50,0,16,11,2016,"11/2016",2010,12,"Ford",0
"1262",1306,13,1,1,26,26,0,28,11,2016,"11/2016",2011,12,"Ford",0
"1263",1311,13,1,1,24,24,1,29,11,2016,"11/2016",2008,12,"Ford",0
"1264",1366,13,1,1,53,53,1,12,12,2016,"12/2016",2008,12,"Ford",0
"1265",1391,13,2,1,46,46,0,17,12,2016,"12/2016",2010,12,"Ford",0
"1266",1428,13,1,1,48,48,1,28,12,2016,"12/2016",2014,12,"Ford",0
"1267",43,15,1,1,54,54,0,18,6,2016,"06/2016",2010,12,"Ford",0
"1268",72,15,1,1,49,49,0,11,9,2016,"09/2016",2016,12,"Ford",0
"1269",99,15,1,1,52,52,1,30,11,2016,"11/2016",2008,12,"Ford",0
"1270",45,16,1,1,21,21,1,22,4,2016,"04/2016",2012,12,"Ford",0
"1271",46,16,1,1,39,39,1,23,4,2016,"04/2016",2015,12,"Ford",0
"1272",83,16,2,1,38,38,0,14,6,2016,"06/2016",2016,12,"Ford",0
"1273",99,16,2,1,58,58,0,26,6,2016,"06/2016",2014,12,"Ford",0
"1274",114,16,1,1,69,69,0,13,7,2016,"07/2016",2014,12,"Ford",0
"1275",181,16,1,1,33,33,0,8,10,2016,"10/2016",2008,12,"Ford",0
"1276",6,17,2,1,60,60,0,3,1,2016,"01/2016",2013,12,"Ford",0
"1277",9,17,1,1,31,31,1,6,1,2016,"01/2016",2009,12,"Ford",0
"1278",44,17,2,1,20,20,0,22,1,2016,"01/2016",2009,12,"Ford",0
"1279",105,17,1,1,24,24,1,21,2,2016,"02/2016",2013,12,"Ford",0
"1280",126,17,1,1,47,47,1,29,2,2016,"02/2016",2008,12,"Ford",0
"1281",155,17,1,1,32,32,1,13,3,2016,"03/2016",2012,12,"Ford",0
"1282",164,17,2,1,77,77,1,15,3,2016,"03/2016",2014,12,"Ford",0
"1283",191,17,1,1,66,66,0,12,3,2016,"03/2016",2010,12,"Ford",0
"1284",192,17,2,1,24,24,0,29,3,2016,"03/2016",2010,12,"Ford",0
"1285",250,17,2,1,31,31,0,24,4,2016,"04/2016",2015,12,"Ford",0
"1286",281,17,1,1,22,22,0,5,5,2016,"05/2016",2008,12,"Ford",0
"1287",285,17,1,1,39,39,1,11,5,2016,"05/2016",2009,12,"Ford",0
"1288",295,17,1,1,30,30,0,23,5,2016,"05/2016",2014,12,"Ford",0
"1289",418,17,1,1,46,46,1,11,6,2016,"06/2016",2015,12,"Ford",0
"1290",455,17,1,1,66,66,0,7,2,2016,"02/2016",2014,12,"Ford",0
"1291",459,17,1,1,89,89,0,21,4,2016,"04/2016",2012,12,"Ford",0
"1292",557,17,2,1,37,37,1,22,7,2016,"07/2016",2014,12,"Ford",0
"1293",578,17,1,1,51,51,0,13,8,2016,"08/2016",2011,12,"Ford",0
"1294",614,17,1,1,18,18,1,27,8,2016,"08/2016",2014,12,"Ford",0
"1295",728,17,1,1,17,17,1,15,8,2016,"08/2016",2008,12,"Ford",0
"1296",781,17,4,1,81,81,1,5,10,2016,"10/2016",2008,12,"Ford",0
"1297",811,17,1,1,72,72,0,17,10,2016,"10/2016",2014,12,"Ford",0
"1298",846,17,2,1,42,42,0,22,9,2016,"09/2016",2014,12,"Ford",0
"1299",871,17,1,1,46,46,0,7,10,2016,"10/2016",2013,12,"Ford",0
"1300",894,17,1,1,40,40,1,12,11,2016,"11/2016",2012,12,"Ford",0
"1301",908,17,1,1,79,79,1,15,11,2016,"11/2016",2013,12,"Ford",0
"1302",920,17,1,1,33,33,1,2,11,2016,"11/2016",2014,12,"Ford",0
"1303",958,17,1,1,56,56,0,19,11,2016,"11/2016",2011,12,"Ford",0
"1304",988,17,1,1,73,73,0,2,12,2016,"12/2016",2009,12,"Ford",0
"1305",1011,17,2,1,45,45,1,18,12,2016,"12/2016",2009,12,"Ford",0
"1306",1018,17,2,1,42,42,0,21,12,2016,"12/2016",2011,12,"Ford",0
"1307",1028,17,1,1,26,26,0,25,12,2016,"12/2016",2010,12,"Ford",0
"1308",1044,17,2,1,42,42,0,17,12,2016,"12/2016",2016,12,"Ford",0
